bydel_pdf;kvarter_code;kvarter_name;omrkk_bydel;bydel_name;split;population_check
Indre By;20101;Middelalderbyen;1001;Indre By;lokaludvalg;quarters 43 886 vs PDF 43 888 (-0.0 %)
Indre By;20102;Metropolzonen;1001;Indre By;lokaludvalg;quarters 43 886 vs PDF 43 888 (-0.0 %)
Indre By;20103;Nansensgade-Kvarteret;1001;Indre By;lokaludvalg;quarters 43 886 vs PDF 43 888 (-0.0 %)
Indre By;20104;Øster Farimagsgade-kvarteret;1001;Indre By;lokaludvalg;quarters 43 886 vs PDF 43 888 (-0.0 %)
Indre By;20105;Østerport;1001;Indre By;lokaludvalg;quarters 43 886 vs PDF 43 888 (-0.0 %)
Indre By;20106;Frederiksstaden;1001;Indre By;lokaludvalg;quarters 43 886 vs PDF 43 888 (-0.0 %)
Indre By;20107;Gammelholm og Nyhavn;1001;Indre By;lokaludvalg;quarters 43 886 vs PDF 43 888 (-0.0 %)
Christianshavn;20201;Christianshavn Neden Vandet;1001;Indre By;lokaludvalg;quarters 13 460 vs PDF 13 478 (-0.1 %)
Christianshavn;20202;Christianshavn Oven Vandet;1001;Indre By;lokaludvalg;quarters 13 460 vs PDF 13 478 (-0.1 %)
Christianshavn;20203;Holmen og Refshaleøen;1001;Indre By;lokaludvalg;quarters 13 460 vs PDF 13 478 (-0.1 %)
Østerbro;20301;Nord/Komponistkvarteret;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20302;Svanemøllen Syd/Øst;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20303;Århusgade Nord;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20304;Århusgade Syd;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20305;Rosenvænget;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20306;Ny Ryvang;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20307;Østerbro Nord;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20308;Nordhavn;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20309;Lyngbyvej Vest;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20310;Lyngbyvej Øst/Klimakvarteret;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Østerbro;20311;Fælled;1002;Østerbro;lokaludvalg;quarters 81 732 vs PDF 82 153 (-0.5 %)
Indre Nørrebro;20401;Blågårdskvarteret/Assistens/Rantzausgade;1003;Nørrebro;manual (Jagtvej line, confirmed by population);quarters 34 374 vs PDF 34 538 (-0.5 %)
Indre Nørrebro;20402;Guldbergskvarteret/Panum/Ravnsborggade;1003;Nørrebro;manual (Jagtvej line, confirmed by population);quarters 34 374 vs PDF 34 538 (-0.5 %)
Ydre Nørrebro;20403;Stefansgade/Nørrebroparken/Lundtoftegade;1003;Nørrebro;manual (Jagtvej line, confirmed by population);quarters 45 220 vs PDF 45 357 (-0.3 %)
Ydre Nørrebro;20404;Mimersgade-kvarteret;1003;Nørrebro;manual (Jagtvej line, confirmed by population);quarters 45 220 vs PDF 45 357 (-0.3 %)
Ydre Nørrebro;20405;Haraldsgade-kvarteret;1003;Nørrebro;manual (Jagtvej line, confirmed by population);quarters 45 220 vs PDF 45 357 (-0.3 %)
Vesterbro;20501;Vesterbro vest;1004;Vesterbro/Kongens Enghave;lokaludvalg;quarters 50 004 vs PDF 49 874 (+0.3 %)
Vesterbro;20502;Vesterbro central;1004;Vesterbro/Kongens Enghave;lokaludvalg;quarters 50 004 vs PDF 49 874 (+0.3 %)
Vesterbro;20503;Vesterbro øst;1004;Vesterbro/Kongens Enghave;lokaludvalg;quarters 50 004 vs PDF 49 874 (+0.3 %)
Vesterbro;20504;Vesterbro syd;1004;Vesterbro/Kongens Enghave;lokaludvalg;quarters 50 004 vs PDF 49 874 (+0.3 %)
Kgs. Enghave;20601;Bavnehøj;1004;Vesterbro/Kongens Enghave;lokaludvalg;quarters 35 057 vs PDF 35 051 (+0.0 %)
Kgs. Enghave;20602;Gl. Sydhavn;1004;Vesterbro/Kongens Enghave;lokaludvalg;quarters 35 057 vs PDF 35 051 (+0.0 %)
Kgs. Enghave;20603;Holmene;1004;Vesterbro/Kongens Enghave;lokaludvalg;quarters 35 057 vs PDF 35 051 (+0.0 %)
Valby;20701;Gl. Valby;1005;Valby;lokaludvalg;quarters 65 969 vs PDF 66 391 (-0.6 %)
Valby;20702;Valby syd;1005;Valby;lokaludvalg;quarters 65 969 vs PDF 66 391 (-0.6 %)
Valby;20703;Ålholm;1005;Valby;lokaludvalg;quarters 65 969 vs PDF 66 391 (-0.6 %)
Valby;20704;Valby sydvest;1005;Valby;lokaludvalg;quarters 65 969 vs PDF 66 391 (-0.6 %)
Valby;20705;Vigerslev;1005;Valby;lokaludvalg;quarters 65 969 vs PDF 66 391 (-0.6 %)
Vanløse;20801;Jyllingevej Kvarter;1006;Vanløse;lokaludvalg;quarters 40 883 vs PDF 40 803 (+0.2 %)
Vanløse;20802;Jernbane Allé Kvarter;1006;Vanløse;lokaludvalg;quarters 40 883 vs PDF 40 803 (+0.2 %)
Vanløse;20803;Sallingvej Kvarter;1006;Vanløse;lokaludvalg;quarters 40 883 vs PDF 40 803 (+0.2 %)
