id;name;label_short;type;status;open_year;open_window;open_year_original;budget_mdkk;agency;parent_id;source_url;source_doc;kommuner_override;geometry_source;map;notes
m5-phase-1;Metro M5, phase 1 (København H – Prags Boulevard);M5 phase 1;metro;decided;2036;;;;Metroselskabet;;https://metroselskabet.dk/m5/;;;stations;true;"Alignment is not published as open data; the line is drawn through the station points below and is indicative. No budget in Anlægsstatus 1H 2026 — the report mentions M5 only as ""den mulige nye metro-linje (M5)"" (p. 22)."
m5-st-koebenhavn-h;M5: København H;København H;metro;decided;2036;;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:nwr[""name""~""^København H$""](55.66,12.54,55.69,12.59)";true;"Existing station; OSM maps it as railway=stop nodes, the point is their representative point."
m5-st-bryggebroen;M5: v/Bryggebroen;v/Bryggebroen;metro;decided;2036;;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Bryggebroen""](55.64,12.55,55.68,12.60)";true;Indicative: placed at the named landmark, the station is not sited yet.
m5-st-dr-byen;M5: DR Byen;DR Byen;metro;decided;2036;;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:node[""railway""=""station""][""name""=""DR Byen""](55.64,12.56,55.67,12.60)";true;Existing station, exact location.
m5-st-amagerbrogade-s;M5: v/Amagerbrogade S;v/Amagerbrogade S;metro;decided;2036;;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Amagerbrogade""](55.64,12.58,55.66,12.62)";true;Indicative: placed on the named street, the station is not sited yet.
m5-st-lergravsparken;M5: Lergravsparken;Lergravsparken;metro;decided;2036;;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:node[""railway""=""station""][""name""=""Lergravsparken""](55.64,12.59,55.68,12.64)";true;Existing station, exact location.
m5-st-prags-boulevard-oest;M5: v/Prags Boulevard Øst;v/Prags Blvd Ø;metro;decided;2036;;;;Metroselskabet;m5-phase-1;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Prags Boulevard""](55.66,12.58,55.70,12.64)";true;Indicative: placed on the named street, the station is not sited yet.
m5-phase-2;Metro M5, phase 2 (Refshaleøen – Lynetteholm);M5 phase 2;metro;decided;2045;;;;Metroselskabet;;https://metroselskabet.dk/m5/;;;stations;true;Alignment indicative, drawn through the station points below. Depends on Lynetteholm being built.
m5-st-refshaleoeen;M5: v/Refshaleøen;v/Refshaleøen;metro;decided;2045;;;;Metroselskabet;m5-phase-2;https://metroselskabet.dk/m5/;;;"osm:way[""name""=""Refshalevej""](55.68,12.59,55.70,12.63)";true;Indicative: placed on Refshalevej, the station is not sited yet.
m5-st-lynetteholm-s;M5: v/Lynetteholm S;v/Lynetteholm S;metro;decided;2045;;;;Metroselskabet;m5-phase-2;https://metroselskabet.dk/m5/;;101;"osm:nwr[""name""=""Lynetteholm""](55.68,12.57,55.75,12.68)";true;Indicative: OSM has Lynetteholm as a single named point, so both M5 phase-2 Lynetteholm stations fall on it until the island is mapped.
m5-st-lynetteholm-n;M5: v/Lynetteholm N;v/Lynetteholm N;metro;decided;2045;;;;Metroselskabet;m5-phase-2;https://metroselskabet.dk/m5/;;101;"osm:nwr[""name""=""Lynetteholm""](55.68,12.57,55.75,12.68)";true;Indicative, same OSM point as Lynetteholm S — the two stations cannot be told apart yet.
lynetteholm;Lynetteholm (new island, urban development and flood protection);Lynetteholm;urban_dev;construction;;;;;By & Havn / Lynetteholm I/S;;https://www.byoghavn.dk/lynetteholm/;Anlægsstatus 1H 2026 p. 37 (named as co-financier of Nordhavnstunnel);101;manual:wkt:POLYGON((12.6170 55.7020, 12.6420 55.7020, 12.6420 55.7180, 12.6170 55.7180, 12.6170 55.7020));true;schematic corridor — not an official alignment. Rough reclamation area east of Refshaleøen (~2.8 km²), drawn by hand — By & Havn publishes no open-data boundary. No own budget or opening year in Anlægsstatus 1H 2026.
nordhavn-udvikling;Nordhavn urban development;Nordhavn;urban_dev;construction;;;;;By & Havn;;https://www.byoghavn.dk/nordhavn/;;101;manual:wkt:POLYGON((12.5900 55.7060, 12.6250 55.7060, 12.6250 55.7250, 12.5900 55.7250, 12.5900 55.7060));true;schematic corridor — not an official alignment. Rough development area north of Nordhavn station, drawn by hand — By & Havn publishes no open-data boundary.
nordhavnstunnel;Nordhavnstunnel;Nordhavnstunnel;road;construction;2028;;;4495.2;Vejdirektoratet (for Københavns Kommune);;https://www.vejdirektoratet.dk/projekt/nordhavnstunnel;Anlægsstatus 1H 2026 p. 34, 37;;manual:wkt:LINESTRING(12.5780 55.7090, 12.5900 55.7105, 12.6050 55.7120);true;"schematic corridor — not an official alignment. Svanemøllen to Nordhavn (Kattegatvej). Financed by Københavns Kommune, By & Havn and the future Lynetteholm I/S; prepared for an extension as Østlig Ringvej."
ring3-letbane;Hovedstadens Letbane, Ring 3 (Lyngby – Ishøj);Ring 3;letbane;opened;2026;;;;Hovedstadens Letbane I/S;;https://www.dinletbane.dk/;;;fingerplan:fp19vh_letbane_line:all;true;Opened in stages 2025–2026. Not in Anlægsstatus 1H 2026 (own company, not a state construction project).
koebenhavn-ringsted;Den nye bane København–Ringsted;Kbh–Ringsted;rail;opened;2019;;;;Banedanmark;;https://www.bane.dk/;;;fingerplan:fp19vo_kbh_ringsted_centerl:all;true;"Opened 2019; geometry is the Fingerplan 2019 centre-line reservation."
ny-bane-vestfyn;Ny bane over Vestfyn;Ny bane Vestfyn;rail;construction;2029;;;6305.4;Banedanmark;;https://www.bane.dk/;Anlægsstatus 1H 2026 p. 9;;"osm:way[""railway""=""construction""](55.45,9.70,55.60,10.30)";true;"Anlægsstatus notes the total expenditure is not expected to hold (""Overholdelse af totaludgift: Nej"")."
ringsted-odense-opgradering;Hastighedsopgradering Ringsted–Odense (200 km/t);Ringsted–Odense;rail;construction;2030;;2028;600.6;Banedanmark;;https://www.bane.dk/;Anlægsstatus 1H 2026 p. 9, 12;;manual:wkt:LINESTRING(11.7900 55.4400, 11.4000 55.3600, 11.1400 55.3300, 10.7900 55.3100, 10.5500 55.3600, 10.3900 55.3950);true;"schematic corridor — not an official alignment. Ringsted – Korsør – Nyborg – Odense, the existing line being upgraded to 200 km/t. Opening year in the report is ""2028/2030"" (Nyborg–Odense 2028, Ringsted–Korsør 2030)."
femern-tunnel;Femern Bælt fixed link (Rødbyhavn – Puttgarden);Femern;bridge_tunnel;construction;;;2029;55100;Femern A/S (Sund & Bælt);;https://femern.com/da/presse/nyheder/femern-baelt-tunnelen-abnes-i-to-etaper/;Femern A/S, 'Femern Bælt-tunnelen åbnes i to etaper', 17. maj 2026 · budget: Anlægsstatus 1H 2026 p. 50 — fetched 2026-09-23;;"osm:way[""name""~""Femern""][""man_made""!=""pier""](54.55,11.20,54.75,11.45)";true;"Opens in two stages: the road connection first, rail later when the German land facilities are ready. Verified 2026-09-23 against the cited Femern A/S article (17 May 2026): it gives no opening year for the road, and states that Germany said in July 2025 the German rail land facilities cannot open in 2029 as planned; a new timetable follows the first tunnel-element sinkings. Budget 55,100 mio. kr. is in 2015 prices (Anlægsstatus 1H 2026 p. 50), not the report's 2026 prices."
femern-landanlaeg;Danske landanlæg til Femern (Ringsted – Rødby);Femern landanlæg;rail;construction;2029;;2028;9500;Banedanmark;;https://www.bane.dk/;Anlægsstatus 1H 2026 p. 51;;"osm:way[""railway""=""construction""](54.65,11.30,55.45,11.95)";true;"Budget 9.5 mia. kr. in 2015 prices. Phase 1 Ringsted–Nykøbing F. track done 2021, power/signalling 2027; phase 2 Nykøbing F.–Rødby 2028/at the latest 2029."
storstroemsbroen;Storstrømsbroen (new road and rail bridge);Storstrømsbroen;bridge_tunnel;construction;2026;;2022;5104.9;Vejdirektoratet;;https://www.vejdirektoratet.dk/projekt/storstroemsbroen;Anlægsstatus 1H 2026 p. 34, 36;;manual:wkt:LINESTRING(11.8878 54.9985, 11.8790 54.9700, 11.8710 54.9430);true;"schematic corridor — not an official alignment. Straight Masnedø – Orehoved crossing: OpenStreetMap has no way for the new bridge (only the old rail bridges tagged ""Sydbanen""), so the status stays construction. Report gives ""2026 (vej), 2027 (bane)""; original 2022 (road) / 2018 (rail)."
frederikssundsmotorvejen;Frederikssundsmotorvejen (reservation, Fingerplan);Frederikssundsmv.;road;study;;;;;Vejdirektoratet;;https://www.vejdirektoratet.dk/;;;fingerplan:fp19vp_motorvejanlaeg_udv:kode=2;true;"Motorway reservation in Fingerplan 2019, identified by location (runs from 2.2 km off Smørum north-west to 3.0 km off Frederikssund). Searched Anlægsstatus 1H 2026 for ""Frederikssund"", ""Tværvej"" and ""3. etape"": the only hit is an S-train mention on p. 17, so the report has no row for this project — status stays study and budget and opening year stay empty."
