Hovedinstitution;Institutionsnummer;Institutionsnavn;Enhedsart;Adresse;Postnummer;Postdistrikt;Vejkode;Beliggenhedskommune;Beliggenhedsregion;Geokode: Breddegrad;Geokode: Længdegrad;Institutionsleder;Telefonnummer;E-mail adresse;Webadresse;Institutionstype, nr;Institutionstype, navn;Undervisningsniveau;Ressortministerium;CVR-nummer;P-nummer;Ejerkode, nr;Ejerkode, navn;Administrativ kommune;Aktivkode, nr;Aktivkode, navn;Ajourdato;Oprettelsesmåned;Nedlæggelsesdato
;101000;Københavns Kommune;Institution uden enheder;Gyldenløvesgade 15, 628;1600;København V;2452;Københavns Kommune;Region Hovedstaden;55.68004825;12.56221139;;3366 3366;borgerservice@kk.dk;www.kk.dk;2013;Kommuner pr. 1/1-2007;;Social- og Ældreministeriet;64942212;1016564776;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;17/12/2025;200701;
;101001;Den Classenske Legatskole;Institution uden enheder;Vester Voldgade 98;1552;København V;8252;Københavns Kommune;Region Hovedstaden;55.67291655;12.57573764;Lars Rye Vadmand;3366 2190;dcl@kk.dk;dcl.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256468;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;27/09/2022;199301;
;101003;Nyboder Skole;Institution uden enheder;Øster Voldgade 15;1350;København K;8612;Københavns Kommune;Region Hovedstaden;55.69057176;12.58624455;Jens-Ulrik Arnt;3366 4950;nyboderskole@kk.dk;nyboderskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256729;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;15/03/2022;192004;
;101005;Sølvgades Skole;Institution uden enheder;Sølvgade 16;1307;København K;7280;Københavns Kommune;Region Hovedstaden;55.68649336;12.58324185;Tina-Marie Bendix Beiter;3366 1287;soel@kk.dk;soel.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256080;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;16/03/2022;;
;101007;Nørrebro Park Skole;Institution uden enheder;Jagtvej 34;2200;København N;3332;Københavns Kommune;Region Hovedstaden;55.69028739;12.54470371;John Kim Nielsen;8256 3399;nps@kk.dk;nps.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003253287;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/05/2025;;
;101008;Blågård Skole;Institution uden enheder;Hans Tavsens Gade 4, byg 3;2200;København N;2604;Københavns Kommune;Region Hovedstaden;55.68782572;12.5502093;Kia Juul Vilhelmsen;3366 7700;blg@kk.dk;blg.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255606;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;23/01/2026;;
;101011;Bellahøj Skole;Institution uden enheder;Svenskelejren 18;2700;Brønshøj;7180;Københavns Kommune;Region Hovedstaden;55.70438626;12.5084448;Mette Rosted Grønlund;3366 1830;bellahoej@kk.dk;bellahoej.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256079;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;193608;
;101012;Brønshøj Skole;Institution uden enheder;Klintholmvej 5;2700;Brønshøj;3748;Københavns Kommune;Region Hovedstaden;55.70425576;12.49503111;Mikkel Wiene;3366 4868;brh@kk.dk;brh.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003253627;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;192401;
;101015;Grøndalsvængets Skole;Institution uden enheder;Rørsangervej 29;2400;København NV;6144;Københavns Kommune;Region Hovedstaden;55.69869277;12.52696619;Kristoffer Gregersen;3366 9350;gvs@kk.dk;gvs.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255345;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;192409;
;101017;Husum Skole;Institution uden enheder;Karlslundevej 23;2700;Brønshøj;3576;Københavns Kommune;Region Hovedstaden;55.70608863;12.47376024;Kristian Mehlsen;8256 1768;husumskole@kk.dk;husumskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003253457;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;193008;
;101019;Katrinedals Skole;Institution uden enheder;Vanløse Allé 44;2720;Vanløse;7984;Københavns Kommune;Region Hovedstaden;55.69022253;12.49876234;Rikke Schultz Pedersen;8256 2540;katrinedal@kk.dk;katrinedal.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256365;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;21/04/2022;193408;
;101020;Kirkebjerg Skole;Institution uden enheder;Vanløsehøj 4;2720;Vanløse;7992;Københavns Kommune;Region Hovedstaden;55.69626213;12.48276009;Bjarne Oppelstrup;3366 1440;kirkebjergskole@kk.dk;kirkebjergskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256377;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;194009;
;101021;Korsager Skole;Institution uden enheder;Grevingevej 15;2700;Brønshøj;7372;Københavns Kommune;Region Hovedstaden;55.70955982;12.46932566;Peter Aksten;3317 3970;korsager@kk.dk;korsager.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003252711;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;194810;
;101022;Rødkilde Skole;Institution uden enheder;Godthåbsvej 274;2720;Vanløse;2264;Københavns Kommune;Region Hovedstaden;55.6970057;12.50700934;Peter Daniel Andersen;3366 1660;roed@kk.dk;roed.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003252759;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;15/03/2022;194810;
;101023;Tingbjerg Skole;Institution uden enheder;Skolesiden 2;2700;Brønshøj;6494;Københavns Kommune;Region Hovedstaden;55.71908728;12.48446681;Marco Damgaard;3366 6040;tingbjergskole@kk.dk;tingbjergskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255588;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;16/03/2022;196508;
;101029;Tagensbo Skole;Institution uden enheder;Magistervej 4;2400;København NV;4580;Københavns Kommune;Region Hovedstaden;55.70978044;12.53351093;Tommy Selchau Christiansen;8256 5580;tgb@kk.dk;tgb.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003254155;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;16/03/2022;193808;
;101030;Holbergskolen;Institution uden enheder;Frederiksborgvej 216;2400;København NV;1940;Københavns Kommune;Region Hovedstaden;55.72445108;12.52876142;Sune Schnack Rasmussen;3366 6400;holbergskolen@kk.dk;holbergskolen.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003252449;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;195208;
;101034;Rådmandsgades Skole;Institution uden enheder;Rådmandsgade 22;2200;København N;6160;Københavns Kommune;Region Hovedstaden;55.69920538;12.54999834;Martin Wåhlin;3366 4020;raadmandsgadesskole@kk.dk;rmg.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255370;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;13/05/2025;;
;101035;Guldberg Skole;Institution uden enheder;Sjællandsgade 10;2200;København N;6408;Københavns Kommune;Region Hovedstaden;55.69318468;12.55314342;Morten Falgaard Nielsen;3366 4747;guldbergskole@kk.dk;guldbergskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255461;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;;
;101039;Randersgades Skole;Institution uden enheder;Randersgade 38;2100;København Ø;5716;Københavns Kommune;Region Hovedstaden;55.70578348;12.58079398;Lotte la Cour Thomsen.;3366 2650;rgmail@buf.kk.dk;rg.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003254866;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;15/03/2022;;
;101041;Strandvejsskolen;Institution uden enheder;Sionsgade 1;2100;København Ø;6396;Københavns Kommune;Region Hovedstaden;55.71124423;12.57920605;Hanne Hansen;3366 7900;strandvejsskolen@kk.dk;strandvejsskolen.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255424;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;21/03/2022;;
;101042;Vibenshus Skole;Institution uden enheder;Kertemindegade 10;2100;København Ø;3636;Københavns Kommune;Region Hovedstaden;55.70875603;12.57882382;Christian Munch Thorsen;3366 1555;VibenshusSkole@kk.dk;vi.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003253512;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;22/03/2022;;
;101043;Øster Farimagsgades Skole;Institution uden enheder;Øster Farimagsgade 40;2100;København Ø;8588;Københavns Kommune;Region Hovedstaden;55.69256402;12.57756795;Kirsten Hanne Hansen;3366 3900;oef@kk.dk;oef.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003254167;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;22/03/2022;;
;101045;Nørre Fælled Skole;Institution uden enheder;Biskop Krags Vænge 7;2100;København Ø;0524;Københavns Kommune;Region Hovedstaden;55.70536092;12.5581518;Thomas Bisgaard;8256 2580;nfs@kk.dk;nfs.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003251624;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;21/04/2022;193208;
;101047;Christianshavns Skole;Institution uden enheder;Prinsessegade 45;1422;København K;5612;Københavns Kommune;Region Hovedstaden;55.67429494;12.59637463;Anders Boesen, konst.;3366 3800;chr@kk.dk;chr.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003254751;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;22/11/2022;;
;101049;Dyvekeskolen;Institution uden enheder;Remisevej 16;2300;København S;5798;Københavns Kommune;Region Hovedstaden;55.64855363;12.5954325;Marck Gylling Tønnesen;3530 3090;dyvekeskolen@kk.dk;dyveke.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255308;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;196808;
;101050;Skolen på Amagerbro;Institution uden enheder;Lybækgade 20;2300;København S;4456;Københavns Kommune;Region Hovedstaden;55.66310924;12.60884242;Henrik Bunde;8256 1800;spa@kk.dk;spa.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003254064;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;13/01/2025;197410;
;101051;Gerbrandskolen;Institution uden enheder;Gerbrandsvej 9;2300;København S;2176;Københavns Kommune;Region Hovedstaden;55.6472546;12.61669644;Jesper Larsen;3366 4900;gerbrandskolen@kk.dk;gerbrandskolen.aula.dk;1012;Folkeskoler;6;Børne- og Undervisningsministeriet;64942212;1003252693;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;194810;
;101052;Højdevangens Skole;Institution uden enheder;Grønløkkevej 1;2300;København S;2344;Københavns Kommune;Region Hovedstaden;55.64674569;12.60382218;Tobias Malmgren;3317 3518;Hvs@kk.dk;hvs.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003252826;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;193008;
;101053;Skolen ved Sundet;Institution uden enheder;Samosvej 50;2300;København S;6196;Københavns Kommune;Region Hovedstaden;55.65323135;12.62801932;Johnni Damgaard Pedersen;2163 6813;svs@kk.dk;svs.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255382;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;193808;
;101055;Sundbyøster Skole;Institution uden enheder;Smyrnavej 5;2300;København S;6640;Københavns Kommune;Region Hovedstaden;55.6514495;12.61384722;Christina Helverskov Langhoff;3366 5130;sundbyoesterskole@kk.dk;sundbyoesterskole.aula.dk;1012;Folkeskoler;6;Børne- og Undervisningsministeriet;64942212;1003255655;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;16/03/2022;191304;
;101058;Lergravsparkens Skole;Institution uden enheder;Wittenberggade 2;2300;København S;8404;Københavns Kommune;Region Hovedstaden;55.66187571;12.61556891;Rasmus Schmidt;3317 5000;lergrav@buf.kk.dk;lps.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256730;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;190608;
;101059;Skolen på Islands Brygge;Institution uden enheder;Artillerivej 57;2300;København S;0232;Københavns Kommune;Region Hovedstaden;55.66291677;12.58332587;Aase Hammer;3366 4200;skolenpaaislandsbrygge@buf.kk.dk;sib.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003251417;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;15/03/2022;197109;
;101060;Peder Lykke Skolen;Institution uden enheder;Brydes Allé 25;2300;København S;0892;Københavns Kommune;Region Hovedstaden;55.65535543;12.59659831;Annika Palmelund;8256 6950;pederlykkeskolen@kk.dk;pederlykkeskolen.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003251855;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;197308;
;101062;Bavnehøj Skole;Institution uden enheder;Natalie Zahles Vej 9;2450;København SV;4944;Københavns Kommune;Region Hovedstaden;55.65789588;12.53564973;Pia Grevelund;3366 5100;bav@kk.dk;bav.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003254349;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;193008;
;101063;Ellebjerg Skole;Institution uden enheder;P. Knudsens Gade 37;2450;København SV;3816;Københavns Kommune;Region Hovedstaden;55.65107471;12.53161061;Anne Graah;3530 2450;ellebjergskole@kk.dk;ellebjergskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003253718;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;194810;
;101064;Tove Ditlevsens Skole;Institution uden enheder;Enghave Plads 21;1670;København V;1588;Københavns Kommune;Region Hovedstaden;55.66645043;12.54494908;Jeanne Jacobsen;3326 7810;tds@kk.dk;tds.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003252206;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;30/03/2022;;
