period;year;kunta;name;households;paid_eur
201812;2018;000;Koko maa;376529;123347500.14
201812;2018;005;Alajärvi;203;62960.39
201812;2018;009;Alavieska;63;17666.14
201812;2018;010;Alavus;348;105893.36
201812;2018;016;Asikkala;248;70242.48
201812;2018;018;Askola;82;25312.66
201812;2018;019;Aura;110;32319.91
201812;2018;020;Akaa;604;174581.72
201812;2018;043;Eckerö;13;3217.97
201812;2018;046;Enonkoski;36;9137.17
201812;2018;047;Enontekiö;35;9530.21
201812;2018;049;Espoo;18747;7702727.07
201812;2018;050;Eura;267;74234.34
201812;2018;051;Eurajoki;184;51867.97
201812;2018;052;Evijärvi;32;9534.95
201812;2018;060;Finström;33;14526.47
201812;2018;061;Forssa;1115;307809.23
201812;2018;065;Geta;7;2244.24
201812;2018;069;Haapajärvi;233;67442.22
201812;2018;071;Haapavesi;228;70137.49
201812;2018;072;Hailuoto;13;3549.27
201812;2018;074;Halsua;17;4365.73
201812;2018;075;Hamina;803;217331.26
201812;2018;076;Hammarland;28;11041.24
201812;2018;077;Hankasalmi;144;38562.3
201812;2018;078;Hanko;312;87038.41
201812;2018;079;Harjavalta;350;101484.41
201812;2018;081;Hartola;107;26792.28
201812;2018;082;Hattula;247;68421.23
201812;2018;086;Hausjärvi;176;56612.4
201812;2018;090;Heinävesi;87;24011.75
201812;2018;091;Helsinki;64993;25920364.99
201812;2018;092;Vantaa;17252;7238683.8
201812;2018;097;Hirvensalmi;46;14858.27
201812;2018;098;Hollola;657;195168.84
201812;2018;099;Honkajoki;37;9334.7
201812;2018;102;Huittinen;359;102930.94
201812;2018;103;Humppila;58;15520.83
201812;2018;105;Hyrynsalmi;46;10632.55
201812;2018;106;Hyvinkää;2647;872212.37
201812;2018;108;Hämeenkyrö;295;79334.67
201812;2018;109;Hämeenlinna;4449;1435775.15
201812;2018;111;Heinola;1048;290257.21
201812;2018;139;Ii;268;84498.53
201812;2018;140;Iisalmi;1295;365211.24
201812;2018;142;Iitti;217;63008.06
201812;2018;143;Ikaalinen;365;105107.98
201812;2018;145;Ilmajoki;334;100638.07
201812;2018;146;Ilomantsi;156;41817.33
201812;2018;148;Inari;199;56318.39
201812;2018;149;Inkoo;95;24364.38
201812;2018;151;Isojoki;41;9613.6
201812;2018;152;Isokyrö;115;35985.86
201812;2018;153;Imatra;1629;471986.73
201812;2018;165;Janakkala;529;158691.96
201812;2018;167;Joensuu;10331;3181736.78
201812;2018;169;Jokioinen;130;40167.57
201812;2018;170;Jomala;43;18011.3
201812;2018;171;Joroinen;127;36017.26
201812;2018;172;Joutsa;147;41078.06
201812;2018;176;Juuka;163;43855.1
201812;2018;177;Juupajoki;53;15451.86
201812;2018;178;Juva;139;39904.75
201812;2018;179;Jyväskylä;18903;5901993.77
201812;2018;181;Jämijärvi;22;6287.54
201812;2018;182;Jämsä;912;259013.43
201812;2018;186;Järvenpää;2502;828091.63
201812;2018;199;Tuntematon;6;-2333588.29
201812;2018;202;Kaarina;982;302692.72
201812;2018;204;Kaavi;102;28337.71
201812;2018;205;Kajaani;2944;898981.1
201812;2018;208;Kalajoki;289;85906.78
201812;2018;211;Kangasala;954;282666.84
201812;2018;213;Kangasniemi;146;43887.64
201812;2018;214;Kankaanpää;572;155953.52
201812;2018;216;Kannonkoski;29;7876.2
201812;2018;217;Kannus;168;49287.97
201812;2018;218;Karijoki;22;6040.79
201812;2018;224;Karkkila;310;96039.21
201812;2018;226;Karstula;105;26789.51
201812;2018;230;Karvia;57;12962.63
201812;2018;231;Kaskinen;19;4987.78
201812;2018;232;Kauhajoki;556;164031.59
201812;2018;233;Kauhava;371;109774.91
201812;2018;235;Kauniainen;326;139468.17
201812;2018;236;Kaustinen;126;35838.43
201812;2018;239;Keitele;49;11632.89
201812;2018;240;Kemi;1612;465424.3
201812;2018;241;Keminmaa;228;62903.24
201812;2018;244;Kempele;538;152138.88
201812;2018;245;Kerava;2361;815887.84
201812;2018;249;Keuruu;408;120288.78
201812;2018;250;Kihniö;42;11587.27
201812;2018;256;Kinnula;36;9362.01
201812;2018;257;Kirkkonummi;1493;517190.55
201812;2018;260;Kitee;362;100377.98
201812;2018;261;Kittilä;148;39205.24
201812;2018;263;Kiuruvesi;312;82280.42
201812;2018;265;Kivijärvi;25;5943.89
201812;2018;271;Kokemäki;271;74124.07
201812;2018;272;Kokkola;2429;696167.12
201812;2018;273;Kolari;81;20252.77
201812;2018;275;Konnevesi;75;22269.22
201812;2018;276;Kontiolahti;390;115065.85
201812;2018;280;Korsnäs;34;7676
201812;2018;284;Koski Tl;44;12427.81
201812;2018;285;Kotka;4154;1193446.12
201812;2018;286;Kouvola;4638;1408699.32
201812;2018;287;Kristiinankaupunki;116;33494.82
201812;2018;288;Kruunupyy;68;19744.49
201812;2018;290;Kuhmo;249;61371.3
201812;2018;291;Kuhmoinen;66;16548.2
201812;2018;297;Kuopio;11937;3771233.21
201812;2018;300;Kuortane;106;26324.94
201812;2018;301;Kurikka;585;162539.16
201812;2018;304;Kustavi;16;1316.91
201812;2018;305;Kuusamo;577;170833.02
201812;2018;309;Outokumpu;556;152946.94
201812;2018;312;Kyyjärvi;22;5630.51
201812;2018;316;Kärkölä;145;48094.13
201812;2018;317;Kärsämäki;71;19279.4
201812;2018;318;Kökar;4;995.86
201812;2018;320;Kemijärvi;212;58394.46
201812;2018;322;Kemiönsaari;165;47361.43
201812;2018;398;Lahti;10865;3539643.47
201812;2018;399;Laihia;153;44006.56
201812;2018;400;Laitila;188;56524.14
201812;2018;402;Lapinlahti;363;100838.93
201812;2018;403;Lappajärvi;41;12724.54
201812;2018;405;Lappeenranta;6789;2065721.64
201812;2018;407;Lapinjärvi;72;19229.77
201812;2018;408;Lapua;397;116648.91
201812;2018;410;Laukaa;539;157040.9
201812;2018;416;Lemi;57;16563.86
201812;2018;417;Lemland;17;8949.19
201812;2018;418;Lempäälä;712;221251.59
201812;2018;420;Leppävirta;268;77917.74
201812;2018;421;Lestijärvi;15;4386.88
201812;2018;422;Lieksa;560;145492.83
201812;2018;423;Lieto;346;103090.6
201812;2018;425;Liminka;185;60128.41
201812;2018;426;Liperi;436;129676.32
201812;2018;430;Loimaa;583;158526.85
201812;2018;433;Loppi;124;39257.78
201812;2018;434;Loviisa;556;157798.85
201812;2018;435;Luhanka;6;1076.53
201812;2018;436;Lumijoki;46;16316.27
201812;2018;440;Luoto;36;12511.96
201812;2018;441;Luumäki;108;27817.35
201812;2018;444;Lohja;1977;655115.1
201812;2018;445;Parainen;347;98184.98
201812;2018;475;Maalahti;90;23049.18
201812;2018;478;Maarianhamina;330;126639.84
201812;2018;480;Marttila;49;14723.59
201812;2018;481;Masku;106;29359.99
201812;2018;483;Merijärvi;25;7040.76
201812;2018;484;Merikarvia;67;16830.65
201812;2018;489;Miehikkälä;37;9799.64
201812;2018;491;Mikkeli;3890;1220782.94
