kommune;value;name
101;1637;København
147;1294;Frederiksberg
151;1779;Ballerup
153;1739;Brøndby
155;1460;Dragør
157;1249;Gentofte
159;1489;Gladsaxe
161;1421;Glostrup
163;1813;Herlev
165;1666;Albertslund
167;1498;Hvidovre
169;1568;Høje-Taastrup
173;1551;Lyngby-Taarbæk
175;1590;Rødovre
183;1572;Ishøj
185;1470;Tårnby
187;1510;Vallensbæk
190;1366;Furesø
201;1324;Allerød
210;1477;Fredensborg
217;1307;Helsingør
219;1519;Hillerød
223;1444;Hørsholm
230;1402;Rudersdal
240;1605;Egedal
250;1428;Frederikssund
253;1734;Greve
259;1409;Køge
260;1274;Halsnæs
265;1405;Roskilde
269;1660;Solrød
270;1399;Gribskov
306;997;Odsherred
316;1235;Holbæk
320;1088;Faxe
326;1008;Kalundborg
329;1163;Ringsted
330;1109;Slagelse
336;1065;Stevns
340;1115;Sorø
350;1391;Lejre
360;810;Lolland
370;1041;Næstved
376;911;Guldborgsund
390;976;Vordingborg
400;872;Bornholm
410;1081;Middelfart
420;914;Assens
430;951;Faaborg-Midtfyn
440;1046;Kerteminde
450;984;Nyborg
461;1157;Odense
479;1000;Svendborg
480;947;Nordfyn
482;809;Langeland
510;817;Haderslev
530;942;Billund
540;898;Sønderborg
550;726;Tønder
561;985;Esbjerg
573;880;Varde
575;873;Vejen
580;860;Aabenraa
607;992;Fredericia
615;1036;Horsens
621;1040;Kolding
630;1095;Vejle
657;1006;Herning
661;945;Holstebro
665;741;Lemvig
671;745;Struer
706;944;Syddjurs
707;769;Norddjurs
710;963;Favrskov
727;1039;Odder
730;838;Randers
740;1095;Silkeborg
741;894;Samsø
746;1108;Skanderborg
751;1484;Aarhus
756;912;Ikast-Brande
760;881;Ringkøbing-Skjern
766;1008;Hedensted
773;717;Morsø
779;814;Skive
787;792;Thisted
791;938;Viborg
810;836;Brønderslev
813;789;Frederikshavn
820;792;Vesthimmerland
840;906;Rebild
846;848;Mariagerfjord
849;875;Jammerbugt
851;1083;Aalborg
860;885;Hjørring
