kommune;value;name
101;1077;København
147;1052;Frederiksberg
151;1022;Ballerup
153;982;Brøndby
155;1074;Dragør
157;1092;Gentofte
159;1025;Gladsaxe
161;1017;Glostrup
163;1069;Herlev
165;1066;Albertslund
167;1091;Hvidovre
169;1033;Høje-Taastrup
173;1119;Lyngby-Taarbæk
175;1050;Rødovre
183;975;Ishøj
185;963;Tårnby
187;1082;Vallensbæk
190;1072;Furesø
201;1106;Allerød
210;1041;Fredensborg
217;1145;Helsingør
219;1072;Hillerød
223;1173;Hørsholm
230;1101;Rudersdal
240;1248;Egedal
250;1078;Frederikssund
253;1006;Greve
259;1043;Køge
260;1056;Halsnæs
265;1225;Roskilde
269;1049;Solrød
270;1160;Gribskov
306;935;Odsherred
316;1014;Holbæk
320;1024;Faxe
326;904;Kalundborg
329;987;Ringsted
330;901;Slagelse
336;1034;Stevns
340;1008;Sorø
350;1182;Lejre
360;813;Lolland
370;972;Næstved
376;836;Guldborgsund
390;908;Vordingborg
400;939;Bornholm
410;902;Middelfart
420;922;Assens
430;913;Faaborg-Midtfyn
440;903;Kerteminde
450;886;Nyborg
461;844;Odense
479;903;Svendborg
480;918;Nordfyns
482;841;Langeland
492;897;Ærø
510;853;Haderslev
530;861;Billund
540;778;Sønderborg
550;804;Tønder
561;830;Esbjerg
563;971;Fanø
573;855;Varde
575;805;Vejen
580;829;Aabenraa
607;858;Fredericia
615;879;Horsens
621;885;Kolding
630;896;Vejle
657;817;Herning
661;861;Holstebro
665;818;Lemvig
671;811;Struer
706;926;Syddjurs
707;856;Norddjurs
710;1007;Favrskov
727;972;Odder
730;808;Randers
740;906;Silkeborg
741;997;Samsø
746;924;Skanderborg
751;996;Aarhus
756;807;Ikast-Brande
760;878;Ringkøbing-Skjern
766;878;Hedensted
773;799;Morsø
779;853;Skive
787;794;Thisted
791;862;Viborg
810;840;Brønderslev
813;814;Frederikshavn
820;889;Vesthimmerlands
825;888;Læsø
840;902;Rebild
846;863;Mariagerfjord
849;936;Jammerbugt
851;881;Aalborg
860;770;Hjørring
