year;kunta;name;pct
2026;005;Alajärvi;9.1
2026;009;Alavieska;9.3
2026;010;Alavus;9.6
2026;016;Asikkala;8.1
2026;018;Askola;9.2
2026;019;Aura;8.9
2026;020;Akaa;9.9
2026;035;Brändö;17.7
2026;043;Eckerö;18.5
2026;046;Enonkoski;8.4
2026;047;Enontekiö;8.7
2026;049;Espoo;5.3
2026;050;Eura;9.4
2026;051;Eurajoki;6.4
2026;052;Evijärvi;9.8
2026;060;Finström;19.0
2026;061;Forssa;8.5
2026;062;Föglö;18.5
2026;065;Geta;18.5
2026;069;Haapajärvi;10.2
2026;071;Haapavesi;9.4
2026;072;Hailuoto;8.9
2026;074;Halsua;10.5
2026;075;Hamina;9.4
2026;076;Hammarland;18.0
2026;077;Hankasalmi;9.4
2026;078;Hanko;9.1
2026;079;Harjavalta;8.9
2026;081;Hartola;9.2
2026;082;Hattula;8.4
2026;086;Hausjärvi;9.3
2026;090;Heinävesi;9.5
2026;091;Helsinki;5.3
2026;092;Vantaa;6.4
2026;097;Hirvensalmi;7.4
2026;098;Hollola;8.3
2026;102;Huittinen;9.4
2026;103;Humppila;9.8
2026;105;Hyrynsalmi;9.0
2026;106;Hyvinkää;7.7
2026;108;Hämeenkyrö;10.2
2026;109;Hämeenlinna;8.4
2026;111;Heinola;8.2
2026;139;Ii;8.9
2026;140;Iisalmi;7.9
2026;142;Iitti;8.6
2026;143;Ikaalinen;9.9
2026;145;Ilmajoki;9.2
2026;146;Ilomantsi;8.6
2026;148;Inari;6.4
2026;149;Inkoo;8.9
2026;151;Isojoki;9.8
2026;152;Isokyrö;9.5
2026;153;Imatra;8.6
2026;165;Janakkala;8.9
2026;167;Joensuu;8.1
2026;169;Jokioinen;9.0
2026;170;Jomala;17.5
2026;171;Joroinen;8.6
2026;172;Joutsa;9.0
2026;176;Juuka;8.5
2026;177;Juupajoki;8.4
2026;178;Juva;9.1
2026;179;Jyväskylä;8.1
2026;181;Jämijärvi;10.0
2026;182;Jämsä;9.4
2026;186;Järvenpää;7.8
2026;202;Kaarina;7.6
2026;204;Kaavi;9.9
2026;205;Kajaani;8.4
2026;208;Kalajoki;8.3
2026;211;Kangasala;9.4
2026;213;Kangasniemi;9.4
2026;214;Kankaanpää;9.1
2026;216;Kannonkoski;9.2
2026;217;Kannus;9.7
2026;218;Karijoki;9.8
2026;224;Karkkila;9.1
2026;226;Karstula;9.0
2026;230;Karvia;8.9
2026;231;Kaskinen;10.3
2026;232;Kauhajoki;9.6
2026;233;Kauhava;9.1
2026;235;Kauniainen;4.7
2026;236;Kaustinen;9.9
2026;239;Keitele;8.9
2026;240;Kemi;9.6
2026;241;Keminmaa;8.6
2026;244;Kempele;8.9
2026;245;Kerava;7.3
2026;249;Keuruu;9.1
2026;250;Kihniö;9.4
2026;256;Kinnula;9.5
2026;257;Kirkkonummi;7.1
2026;260;Kitee;8.1
2026;261;Kittilä;7.3
2026;263;Kiuruvesi;9.5
2026;265;Kivijärvi;9.1
2026;271;Kokemäki;9.2
2026;272;Kokkola;9.2
2026;273;Kolari;8.4
2026;275;Konnevesi;9.8
2026;276;Kontiolahti;8.8
2026;280;Korsnäs;9.2
2026;284;Koski Tl;7.4
2026;285;Kotka;9.4
2026;286;Kouvola;8.9
2026;287;Kristiinankaupunki;8.9
2026;288;Kruunupyy;8.9
2026;290;Kuhmo;9.4
2026;291;Kuhmoinen;9.1
2026;295;Kumlinge;19.3
2026;297;Kuopio;8.1
2026;300;Kuortane;8.4
2026;301;Kurikka;8.4
2026;304;Kustavi;5.3
2026;305;Kuusamo;8.6
2026;309;Outokumpu;8.9
2026;312;Kyyjärvi;9.9
2026;316;Kärkölä;9.4
2026;317;Kärsämäki;9.5
2026;318;Kökar;19.7
2026;320;Kemijärvi;8.9
2026;322;Kemiönsaari;7.1
2026;398;Lahti;8.6
2026;399;Laihia;9.6
2026;400;Laitila;8.4
2026;402;Lapinlahti;9.4
2026;403;Lappajärvi;9.4
2026;405;Lappeenranta;8.3
2026;407;Lapinjärvi;8.9
2026;408;Lapua;8.9
2026;410;Laukaa;9.9
2026;416;Lemi;9.9
2026;417;Lemland;17.8
2026;418;Lempäälä;8.4
2026;420;Leppävirta;8.4
2026;421;Lestijärvi;9.4
2026;422;Lieksa;8.4
2026;423;Lieto;7.1
2026;425;Liminka;9.4
2026;426;Liperi;9.5
2026;430;Loimaa;8.4
2026;433;Loppi;8.9
2026;434;Loviisa;8.1
2026;435;Luhanka;5.9
2026;436;Lumijoki;8.9
2026;438;Lumparland;19.5
2026;440;Luoto;8.3
2026;441;Luumäki;9.3
2026;444;Lohja;7.9
2026;445;Parainen;7.9
2026;475;Maalahti;8.9
2026;478;Maarianhamina - Mariehamn;17.0
2026;480;Marttila;8.8
2026;481;Masku;8.5
2026;483;Merijärvi;10.1
2026;484;Merikarvia;8.9
2026;489;Miehikkälä;10.1
2026;491;Mikkeli;9.4
2026;494;Muhos;9.4
2026;495;Multia;9.8
2026;498;Muonio;8.9
2026;499;Mustasaari;8.9
2026;500;Muurame;6.9
2026;503;Mynämäki;9.1
2026;504;Myrskylä;9.9
2026;505;Mäntsälä;8.3
2026;507;Mäntyharju;8.5
2026;508;Mänttä-Vilppula;9.9
2026;529;Naantali;6.4
2026;531;Nakkila;9.1
2026;535;Nivala;9.9
2026;536;Nokia;8.4
2026;538;Nousiainen;9.1
2026;541;Nurmes;8.9
2026;543;Nurmijärvi;7.9
2026;545;Närpiö;8.4
2026;560;Orimattila;8.7
2026;561;Oripää;8.4
2026;562;Orivesi;9.4
2026;563;Oulainen;10.0
2026;564;Oulu;8.1
2026;576;Padasjoki;8.4
2026;577;Paimio;8.2
2026;578;Paltamo;9.4
2026;580;Parikkala;9.5
2026;581;Parkano;9.4
2026;583;Pelkosenniemi;9.1
2026;584;Perho;9.3
