level;code;name;parent;indicator;label;unit;value;period;inherited_from;source;tables
kunta;005;Alajärvi;South Ostrobothnia;growth;Population growth;% / yr;-1.06;2025;;Tilastokeskus vaerak 11re (kunta, 31 Dec) · Paavo 12f7 (postinumero);vaerak/11re · Postinumeroalueittainen_avoin_tieto:uusin/12f7
kunta;005;Alajärvi;South Ostrobothnia;income_med;Median income of inhabitants;€ / yr;23153;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;income_hh;Mean household income;€ / yr;46464;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;young;Share aged 20–34;%;11.02;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;single;One-person households;%;37.11;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;renters;Renter households;%;18.1;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;unemp;Unemployment rate;%;7.88;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;higher_ed;Tertiary education;%;24.72;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;flats;Dwellings in blocks of flats;%;5.93;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;avg_m2;Average dwelling size;m²;98.4;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;m2_person;Floor area per person;m²;47;2024;;Tilastokeskus, Paavo 12f7 / 12f8 (postal code area / municipality);Postinumeroalueittainen_avoin_tieto:uusin/12f7 · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;unemp_m;Unemployment rate, monthly;%;7.1;2026M08;;Tilastokeskus / TEM tyonv 12tf (työnvälitystilasto, monthly);tyonv/12tf
kunta;005;Alajärvi;South Ostrobothnia;kela;Housing-allowance households;%;5.15;2024;;Kela, yleinen asumistuki, saajaruokakunnat kunnittain (avoindata.suomi.fi, CC BY 4.0) · denominator Tilastokeskus Paavo 12f8 te_taly;kela/yleinen_asumistuki · Postinumeroalueittainen_avoin_tieto:uusin/12f8
kunta;005;Alajärvi;South Ostrobothnia;price_m2;Old flats, price per m²;€ / m²;1383.0;2025;;Tilastokeskus ashi 13mu (postinumero, yearly) · 13mt (postinumero, quarterly) · 13mx (kunta, yearly);ashi/13mt · ashi/13mu · ashi/13mx
kunta;005;Alajärvi;South Ostrobothnia;price_sales;Sales of old flats;per year;4;2025;;Tilastokeskus ashi 13mu / 13mt / 13mx (asset transfer tax data from 2020);ashi/13mt · ashi/13mu · ashi/13mx
kunta;005;Alajärvi;South Ostrobothnia;price_rt;Terraced houses, price per m²;€ / m²;1204.0;2025;;Tilastokeskus ashi 13mu / 13mt (postinumero) · 13mx (kunta);ashi/13mt · ashi/13mu · ashi/13mx
kunta;005;Alajärvi;South Ostrobothnia;rent;Free-market rent;€ / m² / month;11.21;2026Q2;maakunta;Tilastokeskus asvu 15fa (rents, quarterly);asvu/15fa
kunta;005;Alajärvi;South Ostrobothnia;rent_obs;Rent observations;dwellings;3399;2026Q2;maakunta;Tilastokeskus asvu 15fa;asvu/15fa
